"ref, doi",num,P,v,HT_T,HT_t,VED,Elongation,UTS
https://doi.org/10.1016/j.msea.2021.142294,114,210,1400,800,2,58.82352941,3.8,1310
https://doi.org/10.1016/j.msea.2021.142294,115,194,1000,800,2,138.5714286,4.2,1268
https://doi.org/10.1016/j.msea.2021.142294,116,120,960,800,2,41.66666667,8.8,1237
https://doi.org/10.3139/146.111615,117,180,720,0,0,40,5.62,1200
https://doi.org/10.3139/146.111615,118,200,500,0,0,60,6.95,1380
https://doi.org/10.3139/146.111615,119,200,360,0,0,88.88888889,6.19,1337
nc,120,250,1100,900,2,94.69,18.3,1061
nc,121,250,1150,900,2,90.57,16.3,1065
nc,122,200,2000,595,2,41.66,12.9,1221
nc,123,200,1950,595,2,42.73,12.2,1209
nc,124,200,1850,595,2,45.04,16.4,1186
nc,125,200,1900,595,2,43.85,16.5,1190
nc,126,200,1700,595,2,49.01,17.6,1130
nc,127,250,1750,595,2,47.61,14.7,1136
nc,128,150,1500,595,2,41.66,12.9,1207
nc,129,350,1450,0,0,100,8.64,1214
